datetime,zone_id,station_no,serial_no,ta,rh,a_s,co2,pm2_5,pm10
2019-01-01,1_trim_1,1,416C1939,25.92,66.66,0.04,572.6,37.42,25.09
2019-01-01,2_trim_2,1,416C1AD2,23.2,54.08,0.06,598.61,34.78,25.55
2019-01-01,2_trim_2,2,416C1AEC,24.14,58.21,0.09,539.78,35.24,25.69
2019-01-01,2_trim_2,4,416C1930,23.82,52.02,0.08,705.27,37.52,26.41
2019-01-01,3_chassis_1,2,416C1AD0,26.5,49.88,0.02,589.11,34.36,25.37
2019-01-01,3_chassis_1,3,416C1935,26.1,52.11,0.01,538.81,35.77,25.32
2019-01-01,3_chassis_1,4,416C1AC5,26.18,62.0,0.03,614.6,35.43,24.92
2019-01-01,3_chassis_1,5,416C1AE4,25.68,55.85,0.1,526.68,32.73,25.1
2019-01-01,4_chassis_2,1,416C1AE5,24.17,59.16,0.01,518.74,36.19,25.53
2019-01-01,5_engine,1,41245157,26.63,48.47,0.02,524.36,36.03,26.42
2019-01-01,6_final,2,416C1958,26.41,51.61,0.02,526.0,34.73,25.1
2019-01-01,7_inspect,2,416C1AE2,25.63,49.48,0.01,574.6,35.61,25.52
2019-01-02,1_trim_1,1,416C1939,26.18,62.8,0.05,566.97,35.82,26.43
2019-01-02,2_trim_2,1,416C1AD2,24.48,53.15,0.07,518.6,34.18,25.76
2019-01-02,2_trim_2,2,416C1AEC,23.89,59.28,0.07,491.03,35.59,24.9
2019-01-02,2_trim_2,4,416C1930,24.67,53.09,0.05,612.72,36.41,24.53
2019-01-02,3_chassis_1,2,416C1AD0,24.32,53.82,0.05,488.14,33.1,24.14
2019-01-02,3_chassis_1,3,416C1935,25.34,53.21,0.04,476.51,35.22,25.58
2019-01-02,3_chassis_1,4,416C1AC5,24.5,61.66,0.03,538.83,35.71,26.06
2019-01-02,3_chassis_1,5,416C1AE4,23.9,57.76,0.08,486.92,33.8,25.95
2019-01-02,4_chassis_2,1,416C1AE5,26.03,56.75,0.01,563.53,34.56,25.66
2019-01-02,5_engine,1,41245157,24.88,52.23,0.01,455.06,35.22,26.13
2019-01-02,6_final,2,416C1958,24.33,55.88,0.01,464.84,36.31,26.0
2019-01-02,7_inspect,2,416C1AE2,24.11,53.75,0.04,495.57,34.69,24.76
2019-01-03,1_trim_1,1,416C1939,26.01,67.32,0.06,566.43,35.1,24.09
2019-01-03,2_trim_2,1,416C1AD2,24.27,57.06,0.06,525.64,34.89,25.85
2019-01-03,2_trim_2,2,416C1AEC,23.36,61.29,0.09,497.0,36.73,24.77
2019-01-03,2_trim_2,4,416C1930,24.27,57.25,0.03,618.94,36.07,25.7
2019-01-03,3_chassis_1,2,416C1AD0,23.98,56.35,0.03,507.14,35.42,24.45
2019-01-03,3_chassis_1,4,416C1AC5,24.21,61.86,0.03,554.33,34.05,25.15
2019-01-03,3_chassis_1,5,416C1AE4,23.46,59.65,0.07,493.42,35.38,25.95
2019-01-03,4_chassis_2,1,416C1AE5,24.36,57.87,0.01,499.95,36.81,24.51
2019-01-03,5_engine,1,41245157,24.48,53.6,0.01,458.09,33.6,26.61
2019-01-03,6_final,2,416C1958,23.74,58.25,0.02,469.37,34.46,24.79
2019-01-03,7_inspect,2,416C1AE2,23.56,57.44,0.05,507.16,34.7,25.44
2019-01-04,1_trim_1,1,416C1939,26.01,68.15,0.05,563.97,36.22,26.63
2019-01-04,2_trim_2,1,416C1AD2,24.06,54.09,0.07,514.61,38.17,25.97
2019-01-04,2_trim_2,2,416C1AEC,23.53,59.95,0.08,509.02,34.84,25.52
2019-01-04,2_trim_2,4,416C1930,24.22,53.14,0.03,615.97,37.06,25.31
2019-01-04,3_chassis_1,2,416C1AD0,24.06,55.44,0.02,492.87,33.64,25.85
2019-01-04,3_chassis_1,4,416C1AC5,24.18,61.95,0.03,560.28,33.96,25.58
2019-01-04,3_chassis_1,5,416C1AE4,23.38,59.59,0.08,479.66,35.82,26.33
2019-01-04,4_chassis_2,1,416C1AE5,23.83,59.17,0.01,500.95,34.68,24.49
2019-01-04,5_engine,1,41245157,24.34,53.7,0.01,465.76,34.68,25.91
2019-01-04,6_final,2,416C1958,23.64,59.19,0.02,467.7,36.21,26.76
2019-01-04,7_inspect,2,416C1AE2,23.46,56.29,0.03,492.57,32.69,23.49
2019-01-05,1_trim_1,1,416C1939,26.25,66.0,0.06,560.64,36.86,26.1
2019-01-05,2_trim_2,1,416C1AD2,25.97,54.57,0.05,479.44,34.95,25.44
2019-01-05,2_trim_2,2,416C1AEC,25.07,60.01,0.04,476.51,34.52,26.03
2019-01-05,2_trim_2,4,416C1930,26.35,53.88,0.08,582.93,36.39,24.16
2019-01-05,3_chassis_1,2,416C1AD0,25.94,56.14,0.02,446.15,36.3,24.42
2019-01-05,3_chassis_1,4,416C1AC5,25.77,61.86,0.02,513.45,33.11,25.1
2019-01-05,3_chassis_1,5,416C1AE4,25.27,60.14,0.09,442.5,38.8,25.4
2019-01-05,4_chassis_2,1,416C1AE5,23.76,59.34,0.02,500.52,34.65,25.78
2019-01-05,5_engine,1,41245157,26.08,53.7,0.02,433.59,34.69,24.8
2019-01-05,6_final,2,416C1958,25.97,58.1,0.01,438.84,35.34,24.9
2019-01-05,7_inspect,2,416C1AE2,25.48,56.4,0.01,433.86,35.45,25.91
2019-01-06,1_trim_1,1,416C1939,23.68,64.81,0.05,550.93,35.33,25.19
2019-01-06,2_trim_2,1,416C1AD2,26.06,55.24,0.06,478.68,33.54,25.0
2019-01-06,2_trim_2,2,416C1AEC,24.93,60.69,0.02,472.34,36.34,25.21
2019-01-06,2_trim_2,4,416C1930,26.34,54.84,0.03,590.82,33.0,24.68
2019-01-06,3_chassis_1,2,416C1AD0,25.46,58.16,0.02,439.48,35.85,25.45
2019-01-06,3_chassis_1,4,416C1AC5,25.59,61.0,0.02,508.34,34.21,24.52
2019-01-06,3_chassis_1,5,416C1AE4,24.96,62.02,0.09,438.93,34.71,24.97
2019-01-06,4_chassis_2,1,416C1AE5,25.53,58.92,0.01,465.99,37.03,25.09
2019-01-06,5_engine,1,41245157,25.79,56.29,0.01,433.56,35.66,24.53
2019-01-06,6_final,2,416C1958,25.72,60.75,0.01,469.82,33.57,26.64
2019-01-06,7_inspect,2,416C1AE2,25.32,57.67,0.01,427.41,37.08,24.86
2019-01-07,1_trim_1,1,416C1939,24.35,67.5,0.06,570.07,36.32,23.98
2019-01-07,2_trim_2,1,416C1AD2,24.76,51.56,0.07,557.6,37.99,25.68
2019-01-07,2_trim_2,2,416C1AEC,23.68,59.96,0.11,561.46,35.79,24.41
2019-01-07,2_trim_2,4,416C1930,24.68,50.62,0.02,694.15,36.26,25.92
2019-01-07,3_chassis_1,2,416C1AD0,24.13,56.39,0.02,577.26,33.1,26.5
2019-01-07,3_chassis_1,3,416C1935,22.62,64.38,0.03,477.88,48.25,19.0
2019-01-07,3_chassis_1,4,416C1AC5,24.17,61.41,0.04,607.4,35.78,25.44
2019-01-07,3_chassis_1,5,416C1AE4,23.5,60.96,0.09,534.22,34.8,27.51
2019-01-07,4_chassis_2,1,416C1AE5,25.1,61.19,0.01,470.16,34.38,25.81
2019-01-07,5_engine,1,41245157,24.5,55.0,0.01,560.31,36.84,26.2
2019-01-07,6_final,2,416C1958,23.81,58.91,0.02,572.6,34.34,25.53
2019-01-07,7_inspect,2,416C1AE2,23.63,56.84,0.04,550.91,35.62,25.75
2019-01-08,1_trim_1,1,416C1939,25.6,69.22,0.09,570.48,33.07,24.63
2019-01-08,2_trim_2,1,416C1AD2,24.65,53.62,0.07,564.94,35.1,24.84
2019-01-08,2_trim_2,2,416C1AEC,23.83,60.73,0.09,572.77,36.47,25.36
2019-01-08,2_trim_2,4,416C1930,24.6,52.88,0.03,705.4,36.14,24.44
2019-01-08,3_chassis_1,2,416C1AD0,23.97,58.39,0.05,578.97,34.62,25.42
2019-01-08,3_chassis_1,4,416C1AC5,24.45,61.37,0.03,607.2,32.11,24.61
2019-01-08,3_chassis_1,5,416C1AE4,23.57,62.31,0.09,552.83,35.43,26.21
2019-01-08,4_chassis_2,1,416C1AE5,23.86,59.73,0.02,585.52,37.27,25.64
2019-01-08,5_engine,1,41245157,24.6,56.46,0.01,546.75,34.96,25.37
2019-01-08,6_final,2,416C1958,24.07,60.96,0.02,573.43,36.96,25.2
2019-01-08,7_inspect,2,416C1AE2,23.87,58.47,0.03,540.67,37.19,25.68
2019-01-09,1_trim_1,1,416C1939,26.12,66.65,0.08,575.43,34.67,25.02
2019-01-09,2_trim_2,1,416C1AD2,24.83,56.55,0.07,567.08,35.16,25.61
2019-01-09,2_trim_2,2,416C1AEC,23.86,62.24,0.09,571.76,35.08,25.27
2019-01-09,2_trim_2,4,416C1930,24.81,55.04,0.03,701.59,37.04,25.19
2019-01-09,3_chassis_1,2,416C1AD0,24.37,61.04,0.04,567.32,35.26,26.42
2019-01-09,3_chassis_1,4,416C1AC5,24.69,61.13,0.05,631.44,36.01,25.19
2019-01-09,3_chassis_1,5,416C1AE4,23.76,63.55,0.09,542.87,33.74,24.35
2019-01-09,4_chassis_2,1,416C1AE5,24.0,61.0,0.01,574.69,35.58,25.87
2019-01-09,5_engine,1,41245157,24.99,58.72,0.01,533.66,35.01,24.06
2019-01-09,6_final,2,416C1958,24.63,62.69,0.02,574.15,36.61,24.56
2019-01-09,7_inspect,2,416C1AE2,24.09,61.56,0.05,541.28,36.04,24.05
2019-01-10,1_trim_1,1,416C1939,25.32,66.86,0.1,564.24,37.15,25.63
2019-01-10,2_trim_2,1,416C1AD2,24.4,53.38,0.06,591.09,33.62,24.34
2019-01-10,2_trim_2,2,416C1AEC,23.37,61.57,0.07,587.34,33.83,24.82
2019-01-10,2_trim_2,4,416C1930,24.32,52.3,0.01,715.05,34.38,25.08
2019-01-10,3_chassis_1,2,416C1AD0,23.83,57.94,0.02,611.76,37.43,26.37
2019-01-10,3_chassis_1,4,416C1AC5,23.87,61.4,0.06,608.98,35.08,27.22
2019-01-10,3_chassis_1,5,416C1AE4,23.22,62.3,0.08,560.14,35.44,24.56
2019-01-10,4_chassis_2,1,416C1AE5,24.29,62.68,0.01,555.16,35.82,25.06
2019-01-10,5_engine,1,41245157,24.32,56.49,0.02,579.6,34.09,26.36
2019-01-10,6_final,2,416C1958,23.55,61.45,0.01,585.3,33.59,26.13
2019-01-10,7_inspect,2,416C1AE2,23.28,58.82,0.07,562.33,37.3,25.53
2019-01-11,1_trim_1,1,416C1939,25.48,69.74,0.13,574.51,33.38,26.46
2019-01-11,2_trim_2,1,416C1AD2,24.42,52.95,0.06,581.25,35.47,26.12
2019-01-11,2_trim_2,2,416C1AEC,23.21,61.36,0.07,569.54,36.86,25.05
2019-01-11,2_trim_2,4,416C1930,24.21,51.95,0.02,713.97,37.45,26.26
2019-01-11,3_chassis_1,2,416C1AD0,23.59,57.94,0.02,587.91,34.77,26.49
2019-01-11,3_chassis_1,3,416C1935,23.92,65.0,0.01,480.43,35.22,28.52
2019-01-11,3_chassis_1,4,416C1AC5,23.7,61.35,0.05,619.8,35.69,27.13
2019-01-11,3_chassis_1,5,416C1AE4,23.23,61.88,0.08,571.92,34.26,24.5
2019-01-11,4_chassis_2,1,416C1AE5,23.65,60.78,0.01,585.64,35.25,24.93
2019-01-11,5_engine,1,41245157,24.31,56.24,0.01,557.19,33.69,26.04
2019-01-11,6_final,2,416C1958,23.34,61.67,0.01,574.75,35.46,25.19
2019-01-11,7_inspect,2,416C1AE2,23.14,58.73,0.05,556.06,36.43,26.01
2019-01-12,1_trim_1,1,416C1939,25.92,68.78,0.11,568.19,35.23,26.56
2019-01-12,2_trim_2,1,416C1AD2,25.88,56.58,0.07,508.39,36.94,25.75
2019-01-12,2_trim_2,2,416C1AEC,24.92,62.0,0.04,487.46,36.46,25.67
2019-01-12,2_trim_2,4,416C1930,26.24,55.69,0.08,640.92,35.03,24.89
2019-01-12,3_chassis_1,2,416C1AD0,25.45,58.71,0.02,479.23,36.1,25.63
2019-01-12,3_chassis_1,4,416C1AC5,25.5,61.07,0.02,517.03,35.14,25.29
2019-01-12,3_chassis_1,5,416C1AE4,24.88,63.0,0.09,462.36,36.66,26.07
2019-01-12,4_chassis_2,1,416C1AE5,23.5,60.85,0.02,566.91,32.35,24.33
2019-01-12,5_engine,1,41245157,25.78,57.63,0.02,459.56,36.01,24.93
2019-01-12,6_final,2,416C1958,25.65,63.14,0.01,490.99,36.93,24.09
2019-01-12,7_inspect,2,416C1AE2,25.14,59.04,0.01,463.44,34.99,24.97
2019-01-13,1_trim_1,1,416C1939,25.63,66.66,0.11,561.36,35.59,25.29
2019-01-13,2_trim_2,1,416C1AD2,26.57,56.87,0.08,485.88,35.55,25.89
2019-01-13,2_trim_2,2,416C1AEC,25.55,62.19,0.04,462.32,34.97,26.04
2019-01-13,2_trim_2,4,416C1930,26.97,56.07,0.06,613.43,35.78,24.19
2019-01-13,3_chassis_1,2,416C1AD0,26.06,59.18,0.02,447.58,36.14,26.01
2019-01-13,3_chassis_1,4,416C1AC5,26.16,61.0,0.03,489.11,35.4,27.24
2019-01-13,3_chassis_1,5,416C1AE4,25.72,62.91,0.1,434.09,36.74,25.52
2019-01-13,4_chassis_2,1,416C1AE5,25.12,61.91,0.01,497.31,35.76,25.85
